username	T030221160302	T030221160402	T030221170402	T030221180404	T030221190402	T030221200402	T030221210402	T030221220402	T030221230401	T030321000401	T030321010401	T030321020402	T030321030401	T030321040402	T030321050401	T030321060401	T030321070401	T030321080401	T030321090402	T030321100402	T030321110401	T030321120401	T030321130402	T030321140402	T030321150402	T030321160401	T030321170402	T030321180401	T030321190402	T030321200402	T030321210402	T030321220402	T030321230402	T030421000402	T030421010401	T030421020401	T030421030402	T030421040402	T030421050401	T030421060401	T030421070402	T030421080402	T030421090401	T030421100402	T030421110402	T030421120401	T030421130402	T030421140402	T030421150402	T030421160402	T030421170402	T030421180402
tarasovn	6881	6881	6877	6875	6819	6680	6369	6135	5980	5952	5946	5944	5940	5933	5922	5921	5913	5907	5877	5849	5823	5812	5654	5269	5097	5650	5793	5262	4869	4791	5348	5636	5179	4939	4357	3857	3354	3161	3068	3026	3009	3004	2991	2797	2669	2630	4594	5677	6022	6021	6023	6024
fanr	3016	3016	3016	3016	3016	3016	3016	3016	3016	3016	3016	3016	3016	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	3015	2015	1560	1676	1904	2214	2538	3015	3013	3013
others	2824	2842	2861	2902	2633	2339	2523	2559	2439	2657	2416	2476	2495	2540	2279	2113	2197	2017	2095	2141	2359	2806	2676	2949	3723	3573	3925	3990	3521	2964	2892	2996	3592	3653	3272	3009	3045	2984	2669	2569	2812	2461	2600	2502	3384	3450	2969	3545	3265	3594	3603	3353
tolianh	3020	3020	3019	3018	3013	3013	3012	3012	3012	3012	3012	3012	3012	3012	3012	3012	3012	3012	3012	3012	3012	3009	3004	3001	2998	2994	2993	2991	2984	2902	2731	2617	2494	2311	2075	2021	2019	2018	2017	2017	2017	2017	2015	2015	2015	2015	2013	2015	2015	2015	2015	2015
dmoracze	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2502	2498	2502	2500	2500
leed22	0	0	0	0	0	0	0	0	0	0	0	0	0	1170	2723	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	243	610	1392	2014	2730	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
tyburski	753	751	1016	1312	1766	2359	2495	2588	2572	2517	2123	1976	1665	1282	833	257	726	1656	2469	2337	2314	2287	2244	2197	2153	2094	1578	693	0	0	0	0	0	0	461	932	1769	2222	2694	2660	2656	2638	2484	2259	1997	1549	812	392	0	0	0	0
funderbu	1001	1001	1001	1001	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
jshih	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	773	1184	326	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1499	1499	1499	1499	1499	1499	1499
lij41	410	410	441	442	443	443	443	442	442	448	453	452	453	450	447	446	446	447	446	446	452	454	451	448	448	446	445	446	446	446	446	446	441	441	441	441	441	441	441	441	441	441	441	441	441	441	446	446	446	446	441	441
